# Nehboro malicious domains feed
# Format: domain,notes
# Supports wildcards: *.evil.com, pay*.net
# Last updated: populated by community reports
domain,notes
"zupertech.com","custom static list mthcht"
"freescanonline.com","custom static list mthcht"
"3v1n35i5kwx.life","custom static list mthcht"
"asnrrsamsa.com","custom static list mthcht"
"web14.info","custom static list mthcht"
"itszko2ot5u.life","custom static list mthcht"
"n3bvakjjouxir0zkzmd.xyz","custom static list mthcht"
"mnbvakjjouxir0zkzmd.xyz","custom static list mthcht"
"aewrhprres.com","custom static list mthcht"
"rsrsemnren.org","custom static list mthcht"
"aanparshnh.com","custom static list mthcht"
"aharwhphnh.com","custom static list mthcht"
"jpcqdmfvn.com","custom static list mthcht"
"lajlfdbqqr.com","custom static list mthcht"
"mtdadzrquxu.info","custom static list mthcht"
"qanrmqnprn.info","custom static list mthcht"
"txjwlgkqcddbdwdfqese.com","custom static list mthcht"
"xlvddtbgobmrrmmlirjl.com","custom static list mthcht"
"cside.site","custom static list mthcht"
"erdotntexplore.info","custom static list mthcht"
"uhlrmxnfeoglvjpavauw.com","custom static list mthcht"
"aaaacqmeeoeumwey.org","custom static list mthcht"
"9uknixukwim.life","custom static list mthcht"
"wsmroyquhtycdpqoiehx.com","custom static list mthcht"
"algspvqt.org","custom static list mthcht"
"eibmornpk.com","custom static list mthcht"
"djpoppy.com","custom static list mthcht"
"ilajsuyhbegomyqxckui.com","custom static list mthcht"
"wtrajutnmkgoxfdyhqcw.com","custom static list mthcht"
"kqrhri.mooo.com","custom static list mthcht"
"hgnftgngjegoghjegv.com","custom static list mthcht"
"okenhqzgxngnkbwouvfm.com","custom static list mthcht"
"minisiviness-exubonofian-postodesoly.info","custom static list mthcht"
"sdqrofgnoxo.com","custom static list mthcht"
"objtqwwsimibwcmnkrqw.com","custom static list mthcht"
"ilutemudom-overahefify-misukaxalian.info","custom static list mthcht"
"lgrosvmzxjy.info","custom static list mthcht"
"wxluitpliymeoirc.com","custom static list mthcht"
"mjjtobmrqyolqqbqqwmf.com","custom static list mthcht"
"wpvxkakoyr.net","custom static list mthcht"
"ubfmagagaxiqdpwldfdv.com","custom static list mthcht"
"denalits.com","custom static list mthcht"
"kyckcseewaomuacy.org","custom static list mthcht"
"hraqsaqsqh.net","custom static list mthcht"
"wawsenti.duckdns.org","custom static list mthcht"
"emenizite-interexegacible-imemapalian.info","custom static list mthcht"
"nihsxhvkfjwotm.bid","custom static list mthcht"
"prolefexity-disorisance.org","custom static list mthcht"
"oasmavkjmcxctdkit.net","custom static list mthcht"
"7xbapl162fg.life","custom static list mthcht"
"underazeraless-ultraticofism-dexigurian.info","custom static list mthcht"
"interigasihian-rebutovution-interilodeful.biz","custom static list mthcht"
"vksjqxljdw.com","custom static list mthcht"
"exoxevible-minizivupate.info","custom static list mthcht"
"ylybpletvasqgtfrx.com","custom static list mthcht"
"nhbvakjjouxir0zkzmd.com","custom static list mthcht"
"musiclivetrack.website","custom static list mthcht"
"misunotelike-nonugidant.info","custom static list mthcht"
"ecliptera.info","custom static list mthcht"
"vimrxxkpreewlqgwlqko.com","custom static list mthcht"
"nxbvakjjouxir0zkzmd.com","custom static list mthcht"
"ehcaogkhj.net","custom static list mthcht"
"transasahedary-imogelous.info","custom static list mthcht"
"ieaemoioawgssucw.xyz","custom static list mthcht"
"transefusism-microfininaless.info","custom static list mthcht"
"cosipiness-redutation-underemonaful.info","custom static list mthcht"
"transogirapic-irovuxoxity.info","custom static list mthcht"
"gnqfqfcpwb.org","custom static list mthcht"
"unafacigage-transihicical-prebokity.info","custom static list mthcht"
"multilasimous.info","custom static list mthcht"
"recepatission.info","custom static list mthcht"
"emuzixucize.biz","custom static list mthcht"
"plxeyaja.com","custom static list mthcht"
"hrhspsrenn.net","custom static list mthcht"
"enisobure-antidimadom-minikevuship.org","custom static list mthcht"
"alnuqxsv.net","custom static list mthcht"
"mjmlivmvulk.com","custom static list mthcht"
"mnrepmepar.in","custom static list mthcht"
"minixetepate.biz","custom static list mthcht"
"hrrmmrhnqn.net","custom static list mthcht"
